keyword,main_topic,search_intent,search_volume,keyword_difficulty,cpc,competition_level,current_position,target_position,target_url,content_type,priority,status,last_checked,cluster,keyword_type,notes
آموزش جاوا اسکریپت از صفر تا صد,جاوا اسکریپت,Informational,,,,,,,/javascript,,Low,New,,آموزش جاوا اسکریپت,Long Tail,"رقبا: maktabkhooneh, quera.org, roocket.ir, sariasan.com, udemyiran.com. متوسط-سخت. source: needed"
تفاوت جاوا و جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/java-vs-javascript,,Medium,New,,آموزش جاوا اسکریپت,Long Tail,"سردرگمی رایج مبتدی فارسی‌زبان. رقبا: faradars, maktabkhooneh, parsdata, tosinso, sariasan, codeyad, yadify — قابل رقابت با محتوای بهتر. source: needed"
async await در جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-async-await,,Medium,New,,مفاهیم جاوا اسکریپت,Long Tail,"رقبا: virgool.io, faradars, maktabkhooneh, sabzlearn, jobteam.ir, reactapp.ir, atriya.com. ویرگول رتبه ۱ = UGC، قابل شکست. source: needed"
promise در جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-async-await,,Medium,New,,مفاهیم جاوا اسکریپت,Supporting,هم‌صفحه با async/await — SERP یکی است، صفحه جدا نساز (خطر cannibalization). source: needed
ES6 در جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-es6,,Low,New,,مفاهیم جاوا اسکریپت,Long Tail,رقبا: faradars، sariasan، amanjacademy، netparadis. source: needed
تابع در جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-functions,,Low,New,,مفاهیم جاوا اسکریپت,Supporting,blog.faradars.org دو URL رتبه‌دار دارد. source: needed
متد های آرایه در جاوا اسکریپت,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-array-methods,,Low,New,,مفاهیم جاوا اسکریپت,Supporting,source: needed
کاربرد جاوا اسکریپت چیست,جاوا اسکریپت,Informational,,,,,,,/javascript,,Low,New,,آموزش جاوا اسکریپت,Question,force موجه: SERP متفاوت از «جاوا اسکریپت چیست» — اینجا quera.org/blog/applications-of-javascript و 7learn رتبه دارند و فرادرس دو URL اختصاصی کاربرد دارد. source: needed
DOM در جاوا اسکریپت چیست,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-dom,,Medium,New,,مفاهیم جاوا اسکریپت,Long Tail,"force موجه: SERP کاملا متفاوت از «جاوا اسکریپت چیست» — رقبا cando.ac, amoozeshefarsi.com, hitos.ir, sabzlearn/blog/dom. source: needed"
دوره جاوا اسکریپت,جاوا اسکریپت,Commercial,,,,,,,/courses/javascript,Course Page,Medium,New,,دوره و بازار کار جاوا اسکریپت,Primary,"SERP صفحات دوره: maktabkhooneh, codeyad, sabzlearn, toplearn. رقابت تجاری بالا. source: needed برای volume/KD/CPC"
حقوق برنامه نویس جاوا اسکریپت,جاوا اسکریپت,Commercial,,,,,,,/blog/javascript-salary-iran,,High,New,,دوره و بازار کار جاوا اسکریپت,Long Tail,"فرصت قوی: SERP ضعیف (karocamp.com, amirrasooli.ir وبلاگ شخصی, konkurcomputer.ir) و maktabsharif درباره «جاوا» است نه جاوااسکریپت = mismatch نیت. فرادرس فقط با «حقوق برنامه نویس» عمومی رتبه دارد. نیت تجاری بالا => محرک ثبت‌نام دوره. نیازمند داده حقوق واقعی (جاب‌ویژن/جابینجا). source: needed"
بازار کار جاوا اسکریپت,جاوا اسکریپت,Commercial,,,,,,,/blog/javascript-salary-iran,,Medium,New,,دوره و بازار کار جاوا اسکریپت,Secondary,هم‌صفحه با حقوق — SERP همپوشان (amirrasooli.ir برای هر دو). source: needed
پروژه جاوا اسکریپت برای مبتدی,جاوا اسکریپت,Informational,,,,,,,/blog/javascript-projects-beginners,,Medium,New,,یادگیری جاوا اسکریپت,Long Tail,"رقبا: faradars, maktabkhooneh (۲ URL), roocket, git.ir, amirrasooli. قصد عملی، خوب برای جذب مبتدی. source: needed"
بهترین دوره جاوا اسکریپت,جاوا اسکریپت,Commercial,,,,,,,/blog/best-javascript-course,,Medium,New,,دوره و بازار کار جاوا اسکریپت,Secondary,force موجه: نوع صفحه رتبه‌دار متفاوت است — «دوره جاوا اسکریپت» صفحه دوره می‌خواهد، «بهترین دوره» listicle (darsman.com/blog، sh-varna.ir). URL جدا لازم است. source: needed
آموزش جاوا اسکریپت رایگان,جاوا اسکریپت,Commercial,,,,,,,/courses/javascript,,Medium,New,,دوره و بازار کار جاوا اسکریپت,Secondary,force موجه: modifier «رایگان» نیت تجاری/مقایسه‌ای می‌سازد و SERP آن شامل نتیجه ویدیویی آپارات است، برخلاف «آموزش جاوا اسکریپت» عمومی. source: needed
