competitor,keyword,position,url,volume,notes
programstore.ir,DOM در جاوا اسکریپت,2,https://programstore.ir/dom-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-%D9%85%D8%AF%D9%84-%D8%B4%DB%8C-%DA%AF%D8%B1%D8%A7%DB%8C-%D8%B3%D9%86%D8%AF/,,"سایت کوچک. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. SERP قابل حمله"
free-learn.ir,DOM در جاوا اسکریپت,3,https://free-learn.ir/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%82%D8%AF%D9%85-%D8%A8%D9%87-%D9%82%D8%AF%D9%85-dom-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"سایت کوچک. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
rahkarino.com,DOM در جاوا اسکریپت,4,https://rahkarino.com/blog/programming/frontend/javascript/dom-tree/,,"جلسه ۲۲ از سری آموزشی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
maktabkhooneh.org,async await در جاوا اسکریپت,1,https://maktabkhooneh.org/mag/async-and-await-in-js/,,"مقاله مجله. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
virgool.io,async await در جاوا اسکریپت,2,https://virgool.io/@amini.hooman/%D8%AF%D8%B1%DA%A9-promise-%D9%88-async-await-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-rc8q82dgsakw,,"UGC بلاگ شخصی - رتبه ۲ بالاتر از فرادرس. مهم: اقتدار دامنه شرط لازم نیست. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,async await در جاوا اسکریپت,3,https://blog.faradars.org/async-%D9%88-await-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sabzlearn.ir,async await در جاوا اسکریپت,4,https://sabzlearn.ir/blog/the-concept-of-async-and-await-in-javascript/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,promise در جاوا اسکریپت چیست,1,https://blog.faradars.org/understanding-promises-in-javascript/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
roocket.ir,promise در جاوا اسکریپت چیست,2,https://roocket.ir/articles/javascript-es6-promises-for-beginners-resolve-reject-and-chaining-explained,,"مقاله ES6 با resolve/reject/chaining. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
7learn.com,promise در جاوا اسکریپت چیست,3,https://7learn.com/blog/promise-in-javascript,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
fa.javascript.info,promise در جاوا اسکریپت چیست,4,https://fa.javascript.info/promise-basics,,"ترجمه فارسی javascript.info - مرجع مدرن و دقیق. رقیب اصلی محتوای عمیق. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,closure در جاوا اسکریپت,1,https://blog.faradars.org/closure-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
maktabkhooneh.org,closure در جاوا اسکریپت,2,https://maktabkhooneh.org/mag/closure-in-js/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
virgool.io,closure در جاوا اسکریپت,3,https://virgool.io/@saeed_abdollahi/%D9%85%D9%81%D9%87%D9%88%D9%85-closure-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-n9iskzc6pi5l,,"UGC. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
tosinso.com,closure در جاوا اسکریپت,4,https://web.tosinso.com/fa/articles/44617/Closure-%D9%87%D8%A7-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sabzlearn.ir,closure در جاوا اسکریپت,5,https://sabzlearn.ir/blog/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-closure-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"مقاله + ویدیو. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,سوالات مصاحبه جاوا اسکریپت,1,https://blog.faradars.org/%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
virgool.io,سوالات مصاحبه جاوا اسکریپت,2,https://virgool.io/@frontendi/200-%D8%B3%D9%88%D8%A7%D9%84-%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87-%D8%AC%D8%A7%D9%88%D8%A7%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-%D8%A8%D8%B2%D8%B1%DA%AF%D8%AA%D8%B1%DB%8C%D9%86-%D9%84%DB%8C%D8%B3%D8%AA-%D8%B3%D9%88%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87-%D8%AC%D8%A7%D9%88%D8%A7%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-l1ikgazxyjzn,,"۲۰۰ سوال - UGC رتبه ۲. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sabzlearn.ir,سوالات مصاحبه جاوا اسکریپت,4,https://sabzlearn.ir/course/javascript-interview-questions/,,"دوره پولی نه مقاله - فرصت: هیچ‌کس مقاله رایگان کامل ندارد. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,پروژه جاوا اسکریپت برای مبتدی,1,https://blog.faradars.org/%D8%AA%D9%85%D8%B1%DB%8C%D9%86-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"۳۰ تمرین با راه‌حل. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
maktabkhooneh.org,پروژه جاوا اسکریپت برای مبتدی,2,https://maktabkhooneh.org/mag/best-javascript-projects/,,"لیست پروژه. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: فهرست ایده بدون کد کامل"
roocket.ir,پروژه جاوا اسکریپت برای مبتدی,5,https://roocket.ir/series/javascript-projects/,,"سری پروژه‌محور. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
virgool.io,event loop در جاوا اسکریپت,1,https://virgool.io/@m_81862165/%D8%AE%DB%8C%D9%84%DB%8C-%D8%AE%DB%8C%D9%84%DB%8C-%D8%B3%D8%A7%D8%AF%D9%87-%D8%B1%D8%A7%D8%AC%D8%B9-%D8%A8%D9%87-event-loop-zqwmfrqodazn,,"UGC رتبه ۱ - هیچ آموزشگاهی در تاپ ۵ نیست. SERP کاملا قابل حمله. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
roocket.ir,event loop در جاوا اسکریپت,2,https://roocket.ir/discuss/%D8%AA%D9%88%D8%B6%DB%8C%D8%AD-%D9%85%D9%81%D9%87%D9%88%D9%85-Event-loop-%D9%88-single-thread-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF-%D8%AC%DB%8C-%D8%A7%D8%B3,,"تاپیک انجمن نه مقاله - ضعف محتوایی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
fa.javascript.info,event loop در جاوا اسکریپت,3,https://fa.javascript.info/event-loop,,"microtasks/macrotasks - دقیق‌ترین منبع. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
anophel.com,event loop در جاوا اسکریپت,4,https://anophel.com/fa/articles/javascript-event-loop-call-stack,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
fa.javascript.info,ماژول در جاوا اسکریپت,1,https://fa.javascript.info/import-export,,"رتبه ۱ - هیچ آموزشگاه ایرانی در تاپ ۵. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,ماژول در جاوا اسکریپت,2,https://blog.faradars.org/javascript-imports-and-exports/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sourcepoint.ir,ماژول در جاوا اسکریپت,4,https://sourcepoint.ir/tutorial/javascript/export-and-import-in-es6/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,this در جاوا اسکریپت,1,https://blog.faradars.org/this-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sariasan.com,this در جاوا اسکریپت,2,https://sariasan.com/java-script/methods-2/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
reactapp.ir,this در جاوا اسکریپت,3,https://reactapp.ir/this-in-javascript/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
w3-farsi.com,آموزش کلاس در جاوا اسکریپت,,https://www.w3-farsi.com/posts/87902/class-in-javascript/,,مرجع چندصفحه‌ای فصل‌به‌فصل. کوئری برندمودیفای بود - رتبه ثبت نشد (source: needed). ضعف: طراحی و UX قدیمی
