keyword,main_topic,search_intent,search_volume,keyword_difficulty,cpc,competition_level,current_position,target_position,target_url,content_type,priority,status,last_checked,cluster,keyword_type,notes
نیاسینامید برای پوست چه میکند,,Informational,,,,,,5,,faq,Medium,New,,سرم صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم رتینول,,Commercial,,,,,,3,,category,High,New,,سرم صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
رتینول چیست,,Informational,,,,,,3,,faq,High,New,,سرم صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
عوارض رتینول,,Informational,,,,,,5,,article,High,New,,سرم صورت,Long Tail,کیورد نگرانی‌محور — اعتمادساز است، E-E-A-T لازم دارد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
نحوه شروع مصرف رتینول,,Informational,,,,,,5,,guide,Medium,New,,سرم صورت,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ترکیباتی که نباید با هم استفاده شوند,,Informational,,,,,,3,,guide,High,New,,سرم صورت,Long Tail,محتوای پرلینک — به همه صفحات ترکیبات لینک می‌دهد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین سرم برای لک صورت,,Commercial,,,,,,3,,buying guide,High,New,,سرم صورت,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین سرم برای منافذ باز,,Commercial,,,,,,5,,buying guide,Medium,New,,سرم صورت,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
خرید سرم صورت,,Transactional,,,,,,5,,category,Medium,New,,سرم صورت,Supporting,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم آبرسان,,Commercial,,,,,,3,,category,High,New,,آبرسان و مرطوب‌کننده,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت آبرسان و مرطوب کننده,,Informational,,,,,,3,,comparison,High,New,,آبرسان و مرطوب‌کننده,Question,بهترین شانس featured snippet کل بانک | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین کرم مرطوب کننده صورت,,Commercial,,,,,,3,,buying guide,High,New,,آبرسان و مرطوب‌کننده,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم آبرسان مناسب پوست چرب,,Commercial,,,,,,5,,buying guide,Medium,New,,آبرسان و مرطوب‌کننده,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ژل آبرسان صورت,,Commercial,,,,,,5,,category,Medium,New,,آبرسان و مرطوب‌کننده,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان خشکی پوست صورت,,Informational,,,,,,3,,article,High,New,,آبرسان و مرطوب‌کننده,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
علت خشکی پوست در زمستان,,Informational,,,,,,5,,faq,Medium,New,,آبرسان و مرطوب‌کننده,Question,فصلی — از آذر تا اسفند اوج می‌گیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرامید برای پوست,,Informational,,,,,,5,,article,Medium,New,,آبرسان و مرطوب‌کننده,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان جوش صورت,,Informational,,,,,,3,,pillar,High,New,,ضدجوش و آکنه,Primary,ادعای درمانی نکن — زبان محتوا باید مراقبتی باشد نه پزشکی | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
علت جوش صورت,,Informational,,,,,,3,,faq,High,New,,ضدجوش و آکنه,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم ضد جوش,,Commercial,,,,,,3,,category,High,New,,ضدجوش و آکنه,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
جوش هورمونی,,Informational,,,,,,3,,article,High,New,,ضدجوش و آکنه,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان جوش سرسیاه,,Informational,,,,,,3,,article,High,New,,ضدجوش و آکنه,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سالیسیلیک اسید برای جوش,,Informational,,,,,,5,,article,High,New,,ضدجوش و آکنه,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بنزوئیل پراکساید چیست,,Informational,,,,,,5,,faq,Medium,New,,ضدجوش و آکنه,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین محصولات ضد جوش,,Commercial,,,,,,3,,buying guide,High,New,,ضدجوش و آکنه,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ژل شستشو ضد جوش,,Commercial,,,,,,5,,category,Medium,New,,ضدجوش و آکنه,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
جوش زیر پوستی,,Informational,,,,,,5,,article,Medium,New,,ضدجوش و آکنه,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
آیا خوراکی ها باعث جوش میشوند,,Informational,,,,,,5,,faq,Medium,New,,ضدجوش و آکنه,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت آکنه و جوش,,Informational,,,,,,10,,faq,Low,New,,ضدجوش و آکنه,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان لک صورت,,Informational,,,,,,3,,pillar,High,New,,لک و روشن‌کننده,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
علت ایجاد لک صورت,,Informational,,,,,,3,,faq,High,New,,لک و روشن‌کننده,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ملاسما چیست,,Informational,,,,,,5,,faq,Medium,New,,لک و روشن‌کننده,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم ضد لک,,Commercial,,,,,,3,,category,High,New,,لک و روشن‌کننده,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین کرم روشن کننده پوست,,Commercial,,,,,,3,,buying guide,High,New,,لک و روشن‌کننده,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
از بین بردن جای جوش,,Informational,,,,,,3,,article,High,New,,لک و روشن‌کننده,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
آلفا آربوتین برای پوست,,Informational,,,,,,5,,article,Medium,New,,لک و روشن‌کننده,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
لک بارداری صورت,,Informational,,,,,,5,,article,Medium,New,,لک و روشن‌کننده,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
چقدر طول میکشد لک صورت از بین برود,,Informational,,,,,,5,,faq,Medium,New,,لک و روشن‌کننده,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت لک و کک مک,,Informational,,,,,,10,,faq,Low,New,,لک و روشن‌کننده,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم ضد چروک,,Commercial,,,,,,3,,category,High,New,,ضدچروک و ضدپیری,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
جلوگیری از پیری پوست,,Informational,,,,,,3,,pillar,High,New,,ضدچروک و ضدپیری,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین کرم ضد پیری,,Commercial,,,,,,5,,buying guide,Medium,New,,ضدچروک و ضدپیری,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کلاژن سازی پوست,,Informational,,,,,,5,,article,Medium,New,,ضدچروک و ضدپیری,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
پپتید برای پوست چیست,,Informational,,,,,,5,,faq,Medium,New,,ضدچروک و ضدپیری,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
از چه سنی مراقبت ضد پیری را شروع کنیم,,Informational,,,,,,5,,faq,Medium,New,,ضدچروک و ضدپیری,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان خطوط ریز صورت,,Informational,,,,,,5,,article,Medium,New,,ضدچروک و ضدپیری,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ژل شستشو صورت,,Commercial,,,,,,3,,category,High,New,,پاک‌کننده صورت,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
فوم شستشو صورت,,Commercial,,,,,,5,,category,Medium,New,,پاک‌کننده صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
پاک کننده آرایش,,Commercial,,,,,,5,,category,Medium,New,,پاک‌کننده صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
میسلار واتر,,Commercial,,,,,,5,,category,Medium,New,,پاک‌کننده صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
دابل کلنزینگ چیست,,Informational,,,,,,3,,faq,High,New,,پاک‌کننده صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روغن پاک کننده صورت,,Commercial,,,,,,5,,category,Medium,New,,پاک‌کننده صورت,Supporting,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین ژل شستشو برای پوست چرب,,Commercial,,,,,,3,,buying guide,High,New,,پاک‌کننده صورت,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
چند بار در روز صورت را بشوییم,,Informational,,,,,,5,,faq,Medium,New,,پاک‌کننده صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تونر صورت چیست,,Informational,,,,,,5,,faq,Medium,New,,پاک‌کننده صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
کرم دور چشم,,Commercial,,,,,,3,,category,High,New,,مراقبت دور چشم,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان سیاهی دور چشم,,Informational,,,,,,3,,article,High,New,,مراقبت دور چشم,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
علت پف زیر چشم,,Informational,,,,,,5,,faq,Medium,New,,مراقبت دور چشم,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
درمان چروک دور چشم,,Informational,,,,,,5,,article,Medium,New,,مراقبت دور چشم,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ماسک صورت,,Commercial,,,,,,5,,category,Medium,New,,ماسک و لایه‌بردار,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
لایه برداری پوست,,Informational,,,,,,3,,pillar,High,New,,ماسک و لایه‌بردار,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت اهآ و بیاچآ,,Informational,,,,,,5,,comparison,Medium,New,,ماسک و لایه‌بردار,Question,AHA/BHA — املای لاتین را هم در محتوا بیاور | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
پیلینگ صورت در خانه,,Informational,,,,,,5,,guide,Medium,New,,ماسک و لایه‌بردار,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ماسک ورقه ای,,Commercial,,,,,,10,,category,Low,New,,ماسک و لایه‌بردار,Supporting,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
اسکراب صورت,,Commercial,,,,,,5,,category,Medium,New,,ماسک و لایه‌بردار,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
هر چند وقت یکبار لایه برداری کنیم,,Informational,,,,,,5,,faq,Medium,New,,ماسک و لایه‌بردار,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ماسک خانگی برای پوست چرب,,Informational,,,,,,10,,article,Low,New,,ماسک و لایه‌بردار,Long Tail,ترافیک بالا اما نیت خرید صفر — فقط برای برندسازی | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات سراوی,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Primary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات لاروش پوزه,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Primary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات بیودرما,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Primary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات اوسرین,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Secondary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم اوردینری,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Secondary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات سینره,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Secondary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات هیدرودرم,,Transactional,,,,,,5,,brand page,Medium,New,,برندهای مراقبت پوست,Secondary,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات وی شی,,Transactional,,,,,,10,,brand page,Low,New,,برندهای مراقبت پوست,Supporting,نیازمند تایید موجودی انبار — برند بدون stock نباید صفحه بگیرد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
اصل بودن محصولات آرایشی بهداشتی,,Informational,,,,,,3,,article,High,New,,برندهای مراقبت پوست,Question,کیورد اعتماد — برای فروشگاه چندبرندی حیاتی است، مستقیم روی نرخ تبدیل اثر دارد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین کرم دور چشم,,Commercial,,,,,,5,,buying guide,Medium,New,,مراقبت دور چشم,Secondary,force: SERP این کیورد لیستیکل/راهنمای خرید است نه صفحه دسته — «کرم دور چشم» صفحه دسته را هدف می‌گیرد و این یکی مقاله مقایسه‌ای. اگر هر دو روی یک URL بروند، کیورد دسته را حذف کن | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
